"year","month","ssh","site","id"
1953,9,0.017,"Alameda","1953_9"
1953,10,-0.029,"Alameda","1953_10"
1953,11,0.02,"Alameda","1953_11"
1953,12,-0.078,"Alameda","1953_12"
1954,1,0.008,"Alameda","1954_1"
1954,2,0.005,"Alameda","1954_2"
1954,3,0.062,"Alameda","1954_3"
1954,4,0.042,"Alameda","1954_4"
1954,5,0.038,"Alameda","1954_5"
1954,6,-0.012,"Alameda","1954_6"
1954,7,-0.024,"Alameda","1954_7"
1954,8,-0.028,"Alameda","1954_8"
1954,9,-0.057,"Alameda","1954_9"
1954,10,-0.052,"Alameda","1954_10"
1954,11,-0.033,"Alameda","1954_11"
1954,12,-0.024,"Alameda","1954_12"
1955,1,-0.062,"Alameda","1955_1"
1955,2,-0.09,"Alameda","1955_2"
1955,3,-0.061,"Alameda","1955_3"
1955,4,-0.066,"Alameda","1955_4"
1955,5,-0.043,"Alameda","1955_5"
1955,6,-0.028,"Alameda","1955_6"
1955,7,-0.074,"Alameda","1955_7"
1955,8,-0.029,"Alameda","1955_8"
1955,9,-0.058,"Alameda","1955_9"
1955,10,-0.107,"Alameda","1955_10"
1955,11,-0.085,"Alameda","1955_11"
1955,12,0.02,"Alameda","1955_12"
1956,1,0.071,"Alameda","1956_1"
1956,2,-0.018,"Alameda","1956_2"
1956,3,-0.074,"Alameda","1956_3"
1956,4,0.018,"Alameda","1956_4"
1956,5,0.039,"Alameda","1956_5"
1956,6,0.009,"Alameda","1956_6"
1956,7,0.001,"Alameda","1956_7"
1956,8,-0.029,"Alameda","1956_8"
1956,9,-0.046,"Alameda","1956_9"
1956,10,-0.041,"Alameda","1956_10"
1956,11,-0.068,"Alameda","1956_11"
1956,12,-0.087,"Alameda","1956_12"
1957,1,-0.058,"Alameda","1957_1"
1957,2,-0.025,"Alameda","1957_2"
1957,3,-0.027,"Alameda","1957_3"
1957,4,-0.001,"Alameda","1957_4"
1957,5,0.062,"Alameda","1957_5"
1957,6,0.029,"Alameda","1957_6"
1957,7,0.043,"Alameda","1957_7"
1957,8,0.01,"Alameda","1957_8"
1957,9,0.038,"Alameda","1957_9"
1957,10,0.073,"Alameda","1957_10"
1957,11,0.035,"Alameda","1957_11"
1957,12,0.025,"Alameda","1957_12"
1958,1,0.051,"Alameda","1958_1"
1958,2,0.188,"Alameda","1958_2"
1958,3,0.143,"Alameda","1958_3"
1958,4,0.123,"Alameda","1958_4"
1958,5,0.079,"Alameda","1958_5"
1958,6,0.053,"Alameda","1958_6"
1958,7,0.024,"Alameda","1958_7"
1958,8,0.073,"Alameda","1958_8"
1958,9,0.065,"Alameda","1958_9"
1958,10,0.051,"Alameda","1958_10"
1958,11,-0.014,"Alameda","1958_11"
1958,12,0.025,"Alameda","1958_12"
1959,1,0.011,"Alameda","1959_1"
1959,2,0.05,"Alameda","1959_2"
1959,3,-0.044,"Alameda","1959_3"
1959,4,0.009,"Alameda","1959_4"
1959,5,-0.05,"Alameda","1959_5"
1959,6,-0.037,"Alameda","1959_6"
1959,7,-0.005,"Alameda","1959_7"
1959,8,-0.002,"Alameda","1959_8"
1959,9,-0.003,"Alameda","1959_9"
1959,10,0.036,"Alameda","1959_10"
1959,11,0.003,"Alameda","1959_11"
1959,12,0.014,"Alameda","1959_12"
1960,1,0.003,"Alameda","1960_1"
1960,2,-0.061,"Alameda","1960_2"
1960,3,-0.021,"Alameda","1960_3"
1960,4,-0.068,"Alameda","1960_4"
1960,5,-0.074,"Alameda","1960_5"
1960,6,0.02,"Alameda","1960_6"
1960,7,-0.021,"Alameda","1960_7"
1960,8,-0.003,"Alameda","1960_8"
1960,9,0.008,"Alameda","1960_9"
1960,10,-0.038,"Alameda","1960_10"
1960,11,-0.013,"Alameda","1960_11"
1960,12,-0.014,"Alameda","1960_12"
1961,1,-0.01,"Alameda","1961_1"
1961,2,-0.055,"Alameda","1961_2"
1961,3,-0.034,"Alameda","1961_3"
1961,4,-0.016,"Alameda","1961_4"
1961,5,-0.087,"Alameda","1961_5"
1961,6,-0.018,"Alameda","1961_6"
1961,7,-0.034,"Alameda","1961_7"
1961,8,-0.019,"Alameda","1961_8"
1961,9,-0.024,"Alameda","1961_9"
1961,10,-0.058,"Alameda","1961_10"
1961,11,-0.033,"Alameda","1961_11"
1961,12,-0.046,"Alameda","1961_12"
1962,1,-0.031,"Alameda","1962_1"
1962,2,0.047,"Alameda","1962_2"
1962,3,-0.025,"Alameda","1962_3"
1962,4,-0.042,"Alameda","1962_4"
1962,5,-0.012,"Alameda","1962_5"
1962,6,-0.037,"Alameda","1962_6"
1962,7,-0.013,"Alameda","1962_7"
1962,8,-0.041,"Alameda","1962_8"
1962,9,-0.025,"Alameda","1962_9"
1962,10,0.066,"Alameda","1962_10"
1962,11,-0.024,"Alameda","1962_11"
1962,12,0.005,"Alameda","1962_12"
1963,1,-0.032,"Alameda","1963_1"
1963,2,0.034,"Alameda","1963_2"
1963,3,-0.035,"Alameda","1963_3"
1963,4,0.052,"Alameda","1963_4"
1963,5,0.036,"Alameda","1963_5"
1963,6,0.051,"Alameda","1963_6"
1963,7,0.013,"Alameda","1963_7"
1963,8,0.008,"Alameda","1963_8"
1963,9,0.021,"Alameda","1963_9"
1963,10,0.023,"Alameda","1963_10"
1963,11,0.045,"Alameda","1963_11"
1963,12,-0.017,"Alameda","1963_12"
1964,1,0.025,"Alameda","1964_1"
1964,2,-0.058,"Alameda","1964_2"
1964,3,-0.085,"Alameda","1964_3"
1964,4,-0.065,"Alameda","1964_4"
1964,5,-0.038,"Alameda","1964_5"
1964,6,-0.038,"Alameda","1964_6"
1964,7,-0.07,"Alameda","1964_7"
1964,8,-0.021,"Alameda","1964_8"
1964,9,-0.041,"Alameda","1964_9"
1964,10,0,"Alameda","1964_10"
1964,11,0.005,"Alameda","1964_11"
1964,12,0.058,"Alameda","1964_12"
1965,1,0.079,"Alameda","1965_1"
1965,2,-0.001,"Alameda","1965_2"
1965,3,0.03,"Alameda","1965_3"
1965,4,0.114,"Alameda","1965_4"
1965,5,-0.055,"Alameda","1965_5"
1965,6,0.01,"Alameda","1965_6"
1965,7,-0.01,"Alameda","1965_7"
1965,8,0.036,"Alameda","1965_8"
1965,9,0.047,"Alameda","1965_9"
1965,10,0.036,"Alameda","1965_10"
1965,11,0.08,"Alameda","1965_11"
1965,12,0.104,"Alameda","1965_12"
1966,1,0.038,"Alameda","1966_1"
1966,2,-0.035,"Alameda","1966_2"
1966,3,-0.071,"Alameda","1966_3"
1966,4,0.046,"Alameda","1966_4"
1966,5,0.005,"Alameda","1966_5"
1966,6,-0.018,"Alameda","1966_6"
1966,7,-0.057,"Alameda","1966_7"
1966,8,-0.023,"Alameda","1966_8"
1966,9,-0.064,"Alameda","1966_9"
1966,10,-0.04,"Alameda","1966_10"
1966,11,0.04,"Alameda","1966_11"
1966,12,0.011,"Alameda","1966_12"
1967,1,0.025,"Alameda","1967_1"
1967,2,-0.012,"Alameda","1967_2"
1967,3,0.037,"Alameda","1967_3"
1967,4,0.051,"Alameda","1967_4"
1967,5,0.023,"Alameda","1967_5"
1967,6,0.078,"Alameda","1967_6"
1967,7,0.034,"Alameda","1967_7"
1967,8,0.043,"Alameda","1967_8"
1967,9,0.029,"Alameda","1967_9"
1967,10,-0.023,"Alameda","1967_10"
1967,11,0.072,"Alameda","1967_11"
1967,12,-0.02,"Alameda","1967_12"
1968,1,0.012,"Alameda","1968_1"
1968,2,0.045,"Alameda","1968_2"
1968,3,-0.009,"Alameda","1968_3"
1968,4,-0.029,"Alameda","1968_4"
1968,5,-0.02,"Alameda","1968_5"
1968,6,-0.045,"Alameda","1968_6"
1968,7,-0.019,"Alameda","1968_7"
1968,8,-0.004,"Alameda","1968_8"
1968,9,-0.008,"Alameda","1968_9"
1968,10,0.01,"Alameda","1968_10"
1968,11,-0.011,"Alameda","1968_11"
1968,12,0,"Alameda","1968_12"
1969,1,0.142,"Alameda","1969_1"
1969,2,0.191,"Alameda","1969_2"
1969,3,0.029,"Alameda","1969_3"
1969,4,0.047,"Alameda","1969_4"
1969,5,0.046,"Alameda","1969_5"
1969,6,0.046,"Alameda","1969_6"
1969,7,0.026,"Alameda","1969_7"
1969,8,0.029,"Alameda","1969_8"
1969,9,0.055,"Alameda","1969_9"
1969,10,0.048,"Alameda","1969_10"
1969,11,0.067,"Alameda","1969_11"
1969,12,0.072,"Alameda","1969_12"
1970,1,0.084,"Alameda","1970_1"
1970,2,0.058,"Alameda","1970_2"
1970,3,0.042,"Alameda","1970_3"
1970,4,-0.097,"Alameda","1970_4"
1970,5,-0.052,"Alameda","1970_5"
1970,6,-0.041,"Alameda","1970_6"
1970,7,-0.026,"Alameda","1970_7"
1970,8,-0.036,"Alameda","1970_8"
1970,9,-0.041,"Alameda","1970_9"
1970,10,-0.011,"Alameda","1970_10"
1970,11,0.023,"Alameda","1970_11"
1970,12,0.026,"Alameda","1970_12"
1971,1,-0.06,"Alameda","1971_1"
1971,2,-0.138,"Alameda","1971_2"
1971,3,-0.133,"Alameda","1971_3"
1971,4,-0.053,"Alameda","1971_4"
1971,5,-0.038,"Alameda","1971_5"
1971,6,-0.032,"Alameda","1971_6"
1971,7,-0.018,"Alameda","1971_7"
1971,8,-0.006,"Alameda","1971_8"
1971,9,0.014,"Alameda","1971_9"
1971,10,-0.015,"Alameda","1971_10"
1971,11,-0.045,"Alameda","1971_11"
1971,12,-0.055,"Alameda","1971_12"
1972,1,-0.061,"Alameda","1972_1"
1972,2,-0.059,"Alameda","1972_2"
1972,3,-0.058,"Alameda","1972_3"
1972,4,-0.038,"Alameda","1972_4"
1972,5,-0.018,"Alameda","1972_5"
1972,6,0.01,"Alameda","1972_6"
1972,7,-0.01,"Alameda","1972_7"
1972,8,0.036,"Alameda","1972_8"
1972,9,0.016,"Alameda","1972_9"
1972,10,0.088,"Alameda","1972_10"
1972,11,0.065,"Alameda","1972_11"
1972,12,0.048,"Alameda","1972_12"
1973,1,0.056,"Alameda","1973_1"
1973,2,0.136,"Alameda","1973_2"
1973,3,0.023,"Alameda","1973_3"
1973,4,-0.076,"Alameda","1973_4"
1973,5,-0.019,"Alameda","1973_5"
1973,6,-0.009,"Alameda","1973_6"
1973,7,-0.041,"Alameda","1973_7"
1973,8,-0.05,"Alameda","1973_8"
1973,9,-0.082,"Alameda","1973_9"
1973,10,-0.056,"Alameda","1973_10"
1973,11,-0.033,"Alameda","1973_11"
1973,12,-0.001,"Alameda","1973_12"
1974,1,0.022,"Alameda","1974_1"
1974,2,-0.088,"Alameda","1974_2"
1974,3,0.038,"Alameda","1974_3"
1974,4,0.039,"Alameda","1974_4"
1974,5,-0.002,"Alameda","1974_5"
1974,6,0.032,"Alameda","1974_6"
1974,7,-0.012,"Alameda","1974_7"
1974,8,-0.002,"Alameda","1974_8"
1974,9,-0.004,"Alameda","1974_9"
1974,10,0.008,"Alameda","1974_10"
1974,11,-0.028,"Alameda","1974_11"
1974,12,-0.063,"Alameda","1974_12"
1975,1,-0.113,"Alameda","1975_1"
1975,2,-0.055,"Alameda","1975_2"
1975,3,-0.009,"Alameda","1975_3"
1975,4,-0.005,"Alameda","1975_4"
1975,5,-0.033,"Alameda","1975_5"
1975,6,0.01,"Alameda","1975_6"
1975,7,-0.04,"Alameda","1975_7"
1975,8,-0.043,"Alameda","1975_8"
1975,9,-0.057,"Alameda","1975_9"
1975,10,-0.073,"Alameda","1975_10"
1975,11,-0.099,"Alameda","1975_11"
1975,12,-0.128,"Alameda","1975_12"
1976,1,-0.16,"Alameda","1976_1"
1976,2,-0.108,"Alameda","1976_2"
1976,3,-0.126,"Alameda","1976_3"
1976,4,-0.052,"Alameda","1976_4"
1976,5,-0.033,"Alameda","1976_5"
1976,6,-0.043,"Alameda","1976_6"
1976,7,-0.014,"Alameda","1976_7"
1976,8,-0.026,"Alameda","1976_8"
1976,9,0.018,"Alameda","1976_9"
1976,10,0.006,"Alameda","1976_10"
1976,11,0.015,"Alameda","1976_11"
1976,12,0.03,"Alameda","1976_12"
1977,1,-0.036,"Alameda","1977_1"
1977,2,-0.115,"Alameda","1977_2"
1977,3,-0.153,"Alameda","1977_3"
1977,4,-0.125,"Alameda","1977_4"
1977,5,-0.089,"Alameda","1977_5"
1977,6,-0.053,"Alameda","1977_6"
1977,7,-0.069,"Alameda","1977_7"
1977,8,-0.03,"Alameda","1977_8"
1977,9,-0.01,"Alameda","1977_9"
1977,10,-0.02,"Alameda","1977_10"
1977,11,-0.044,"Alameda","1977_11"
1977,12,0.014,"Alameda","1977_12"
1978,1,0.132,"Alameda","1978_1"
1978,2,0.085,"Alameda","1978_2"
1978,3,0.123,"Alameda","1978_3"
1978,4,0.091,"Alameda","1978_4"
1978,5,-0.032,"Alameda","1978_5"
1978,6,-0.087,"Alameda","1978_6"
1978,7,-0.048,"Alameda","1978_7"
1978,8,-0.043,"Alameda","1978_8"
1978,9,-0.112,"Alameda","1978_9"
1978,10,-0.018,"Alameda","1978_10"
1978,11,0.007,"Alameda","1978_11"
1978,12,-0.057,"Alameda","1978_12"
1979,1,-0.025,"Alameda","1979_1"
1979,2,0.005,"Alameda","1979_2"
1979,3,0.021,"Alameda","1979_3"
1979,4,-0.023,"Alameda","1979_4"
1979,5,-0.024,"Alameda","1979_5"
1979,6,-0.042,"Alameda","1979_6"
1979,7,-0.043,"Alameda","1979_7"
1979,8,-0.028,"Alameda","1979_8"
1979,9,-0.023,"Alameda","1979_9"
1979,10,-0.007,"Alameda","1979_10"
1979,11,-0.03,"Alameda","1979_11"
1979,12,0.012,"Alameda","1979_12"
1980,1,0.102,"Alameda","1980_1"
1980,2,0.159,"Alameda","1980_2"
1980,3,0.057,"Alameda","1980_3"
1980,4,-0.012,"Alameda","1980_4"
1980,5,-0.016,"Alameda","1980_5"
1980,6,-0.021,"Alameda","1980_6"
1980,7,-0.029,"Alameda","1980_7"
1980,8,0.014,"Alameda","1980_8"
1980,9,-0.015,"Alameda","1980_9"
1980,10,-0.026,"Alameda","1980_10"
1980,11,-0.058,"Alameda","1980_11"
1980,12,-0.011,"Alameda","1980_12"
1981,1,0.013,"Alameda","1981_1"
1981,2,-0.051,"Alameda","1981_2"
1981,3,-0.011,"Alameda","1981_3"
1981,4,-0.034,"Alameda","1981_4"
1981,5,-0.023,"Alameda","1981_5"
1981,6,-0.065,"Alameda","1981_6"
1981,7,-0.024,"Alameda","1981_7"
1981,8,-0.063,"Alameda","1981_8"
1981,9,-0.068,"Alameda","1981_9"
1981,10,-0.03,"Alameda","1981_10"
1981,11,0.033,"Alameda","1981_11"
1981,12,0.02,"Alameda","1981_12"
1982,1,0.015,"Alameda","1982_1"
1982,2,-0.003,"Alameda","1982_2"
1982,3,0.113,"Alameda","1982_3"
1982,4,0.108,"Alameda","1982_4"
1982,5,0.061,"Alameda","1982_5"
1982,6,0.047,"Alameda","1982_6"
1982,7,0.006,"Alameda","1982_7"
1982,8,0.018,"Alameda","1982_8"
1982,9,0.08,"Alameda","1982_9"
1982,10,0.077,"Alameda","1982_10"
1982,11,0.212,"Alameda","1982_11"
1982,12,0.138,"Alameda","1982_12"
1983,1,0.221,"Alameda","1983_1"
1983,2,0.273,"Alameda","1983_2"
1983,3,0.276,"Alameda","1983_3"
1983,4,0.18,"Alameda","1983_4"
1983,5,0.131,"Alameda","1983_5"
1983,6,0.128,"Alameda","1983_6"
1983,7,0.114,"Alameda","1983_7"
1983,8,0.133,"Alameda","1983_8"
1983,9,0.186,"Alameda","1983_9"
1983,10,0.131,"Alameda","1983_10"
1983,11,0.131,"Alameda","1983_11"
1983,12,0.121,"Alameda","1983_12"
1984,1,0.053,"Alameda","1984_1"
1984,2,-0.021,"Alameda","1984_2"
1984,3,-0.002,"Alameda","1984_3"
1984,4,-0.048,"Alameda","1984_4"
1984,5,-0.049,"Alameda","1984_5"
1984,6,0.002,"Alameda","1984_6"
1984,7,0.065,"Alameda","1984_7"
1984,8,0.05,"Alameda","1984_8"
1984,9,0.084,"Alameda","1984_9"
1984,10,-0.011,"Alameda","1984_10"
1984,11,0.06,"Alameda","1984_11"
1984,12,0.032,"Alameda","1984_12"
1985,1,-0.019,"Alameda","1985_1"
1985,2,-0.086,"Alameda","1985_2"
1985,3,-0.084,"Alameda","1985_3"
1985,4,-0.025,"Alameda","1985_4"
1985,5,-0.062,"Alameda","1985_5"
1985,6,-0.002,"Alameda","1985_6"
1985,7,-0.018,"Alameda","1985_7"
1985,8,-0.037,"Alameda","1985_8"
1985,9,0.001,"Alameda","1985_9"
1985,10,-0.024,"Alameda","1985_10"
1985,11,-0.029,"Alameda","1985_11"
1985,12,-0.036,"Alameda","1985_12"
1986,1,-0.006,"Alameda","1986_1"
1986,2,0.133,"Alameda","1986_2"
1986,3,0.131,"Alameda","1986_3"
1986,4,0.029,"Alameda","1986_4"
1986,5,-0.006,"Alameda","1986_5"
1986,6,-0.027,"Alameda","1986_6"
1986,7,0.012,"Alameda","1986_7"
1986,8,0.002,"Alameda","1986_8"
1986,9,-0.003,"Alameda","1986_9"
1986,10,0.027,"Alameda","1986_10"
1986,11,0.012,"Alameda","1986_11"
1986,12,0.042,"Alameda","1986_12"
1987,1,-0.044,"Alameda","1987_1"
1987,2,0.013,"Alameda","1987_2"
1987,3,0.002,"Alameda","1987_3"
1987,4,-0.042,"Alameda","1987_4"
1987,5,0.054,"Alameda","1987_5"
1987,6,-0.021,"Alameda","1987_6"
1987,7,0.011,"Alameda","1987_7"
1987,8,0.038,"Alameda","1987_8"
1987,9,0.003,"Alameda","1987_9"
1987,10,0.02,"Alameda","1987_10"
1987,11,0.018,"Alameda","1987_11"
1987,12,-0.014,"Alameda","1987_12"
1988,1,-0.069,"Alameda","1988_1"
1988,2,-0.079,"Alameda","1988_2"
1988,3,-0.102,"Alameda","1988_3"
1988,4,-0.022,"Alameda","1988_4"
1988,5,-0.081,"Alameda","1988_5"
1988,6,-0.068,"Alameda","1988_6"
1988,7,-0.024,"Alameda","1988_7"
1988,8,-0.008,"Alameda","1988_8"
1988,9,-0.062,"Alameda","1988_9"
1988,10,-0.045,"Alameda","1988_10"
1988,11,-0.092,"Alameda","1988_11"
1988,12,-0.112,"Alameda","1988_12"
1989,1,-0.171,"Alameda","1989_1"
1989,2,-0.156,"Alameda","1989_2"
1989,3,-0.052,"Alameda","1989_3"
1989,4,-0.005,"Alameda","1989_4"
1989,5,-0.018,"Alameda","1989_5"
1989,6,-0.017,"Alameda","1989_6"
1989,7,-0.04,"Alameda","1989_7"
1989,8,-0.015,"Alameda","1989_8"
1989,9,-0.005,"Alameda","1989_9"
1989,10,-0.016,"Alameda","1989_10"
1989,11,0.001,"Alameda","1989_11"
1989,12,-0.039,"Alameda","1989_12"
1990,1,-0.059,"Alameda","1990_1"
1990,2,-0.111,"Alameda","1990_2"
1990,3,-0.098,"Alameda","1990_3"
1990,4,-0.012,"Alameda","1990_4"
1990,5,-0.025,"Alameda","1990_5"
1990,6,-0.052,"Alameda","1990_6"
1990,7,-0.011,"Alameda","1990_7"
1990,8,0.011,"Alameda","1990_8"
1990,9,-0.006,"Alameda","1990_9"
1990,10,-0.003,"Alameda","1990_10"
1990,11,-0.024,"Alameda","1990_11"
1990,12,-0.061,"Alameda","1990_12"
1991,1,-0.072,"Alameda","1991_1"
1991,2,-0.036,"Alameda","1991_2"
1991,3,0.004,"Alameda","1991_3"
1991,4,-0.092,"Alameda","1991_4"
1991,5,-0.077,"Alameda","1991_5"
1991,6,-0.037,"Alameda","1991_6"
1991,7,-0.012,"Alameda","1991_7"
1991,8,-0.024,"Alameda","1991_8"
1991,9,-0.001,"Alameda","1991_9"
1991,10,0.029,"Alameda","1991_10"
1991,11,-0.025,"Alameda","1991_11"
1991,12,0.014,"Alameda","1991_12"
1992,1,0.018,"Alameda","1992_1"
1992,2,0.131,"Alameda","1992_2"
1992,3,0.165,"Alameda","1992_3"
1992,4,0.054,"Alameda","1992_4"
1992,5,0.06,"Alameda","1992_5"
1992,6,0.019,"Alameda","1992_6"
1992,7,0.018,"Alameda","1992_7"
1992,8,-0.009,"Alameda","1992_8"
1992,9,0.001,"Alameda","1992_9"
1992,10,0.053,"Alameda","1992_10"
1992,11,0.001,"Alameda","1992_11"
1992,12,0.025,"Alameda","1992_12"
1993,1,0.118,"Alameda","1993_1"
1993,2,0.13,"Alameda","1993_2"
1993,3,0.052,"Alameda","1993_3"
