Label,Value,StdDev
Main_RecrDev_1927,-0.511514,1.17215
Main_RecrDev_1928,-0.534484,1.16271
Main_RecrDev_1929,-0.510421,1.17277
Main_RecrDev_1930,-0.516642,1.17009
Main_RecrDev_1931,-0.53637,1.16192
Main_RecrDev_1932,-0.576226,1.14583
Main_RecrDev_1933,-0.575068,1.14584
Main_RecrDev_1934,-0.583459,1.1424
Main_RecrDev_1935,-0.407734,1.21633
Main_RecrDev_1936,-0.67981,1.10627
Main_RecrDev_1937,-0.666391,1.11105
Main_RecrDev_1938,-0.419503,1.21137
Main_RecrDev_1939,-0.453609,1.19469
Main_RecrDev_1940,-0.512607,1.16643
Main_RecrDev_1941,-0.635706,1.12055
Main_RecrDev_1942,-0.62215,1.12484
Main_RecrDev_1943,-0.583201,1.13768
Main_RecrDev_1944,-0.571299,1.14137
Main_RecrDev_1945,-0.483073,1.17765
Main_RecrDev_1946,-0.61017,1.12811
Main_RecrDev_1947,-0.555989,1.14742
Main_RecrDev_1948,-0.587776,1.13748
Main_RecrDev_1949,-0.455861,1.18601
Main_RecrDev_1950,-0.364729,1.22344
Main_RecrDev_1951,-0.386153,1.21739
Main_RecrDev_1952,-0.157679,1.32462
Main_RecrDev_1953,-0.387834,1.21498
Main_RecrDev_1954,-0.217589,1.2931
Main_RecrDev_1955,0.221596,1.56775
Main_RecrDev_1956,0.0372035,1.43596
Main_RecrDev_1957,0.0901273,1.48062
Main_RecrDev_1958,0.000747597,1.42667
Main_RecrDev_1959,0.37702,1.70583
Main_RecrDev_1960,-0.0250543,1.41103
Main_RecrDev_1961,0.0669064,1.47127
Main_RecrDev_1962,0.377563,1.73595
Main_RecrDev_1963,-0.100211,1.372
Main_RecrDev_1964,0.387621,1.85351
Main_RecrDev_1965,0.0303092,1.44835
Main_RecrDev_1966,2.67081,0.387998
Main_RecrDev_1967,-0.353591,1.23121
Main_RecrDev_1968,0.00658233,1.42756
Main_RecrDev_1969,-0.420924,1.19717
Main_RecrDev_1970,-0.102679,1.33805
Main_RecrDev_1971,-0.422299,1.18504
Main_RecrDev_1972,-0.336431,1.2103
Main_RecrDev_1973,0.0749716,1.36768
Main_RecrDev_1974,-0.167967,1.2761
Main_RecrDev_1975,0.225473,1.49223
Main_RecrDev_1976,0.717573,1.19689
Main_RecrDev_1977,0.0321373,1.29115
Main_RecrDev_1978,-0.164321,1.29287
Main_RecrDev_1979,1.96059,0.448599
Main_RecrDev_1980,0.487899,0.925679
Main_RecrDev_1981,1.11814,0.432792
Main_RecrDev_1982,0.625039,0.406163
Main_RecrDev_1983,-0.447687,1.03671
Main_RecrDev_1984,1.36023,0.377213
Main_RecrDev_1985,1.29144,0.417879
Main_RecrDev_1986,0.911224,0.364816
Main_RecrDev_1987,-0.620466,0.889336
Main_RecrDev_1988,1.05855,0.248596
Main_RecrDev_1989,0.612262,0.380909
Main_RecrDev_1990,1.67455,0.191543
Main_RecrDev_1991,-1.49523,0.809401
Main_RecrDev_1992,0.180906,0.38509
Main_RecrDev_1993,-0.472398,0.502202
Main_RecrDev_1994,0.46743,0.224442
Main_RecrDev_1995,1.37678,0.167737
Main_RecrDev_1996,-2.159,0.763463
Main_RecrDev_1997,-2.41268,0.660664
Main_RecrDev_1998,-0.0159097,0.299509
Main_RecrDev_1999,1.28184,0.173475
Main_RecrDev_2000,2.46455,0.12647
Main_RecrDev_2001,1.09843,0.207459
Main_RecrDev_2002,0.628584,0.186053
Main_RecrDev_2003,-0.937704,0.299063
Main_RecrDev_2004,0.201094,0.165889
Main_RecrDev_2005,-2.48988,0.589129
Main_RecrDev_2006,-1.06046,0.263378
Main_RecrDev_2007,-2.07125,0.550763
Main_RecrDev_2008,1.9261,0.127237
Main_RecrDev_2009,-1.08986,0.509972
Main_RecrDev_2010,0.999096,0.139651
Main_RecrDev_2011,0.0896401,0.221137
Main_RecrDev_2012,-0.755962,0.362993
Main_RecrDev_2013,1.76345,0.129569
Main_RecrDev_2014,0.129993,0.22625
Main_RecrDev_2015,1.11888,0.166776
Main_RecrDev_2016,2.24867,0.137252
Main_RecrDev_2017,0.597976,0.264219
Main_RecrDev_2018,0.323542,0.396776
Main_RecrDev_2019,0.0540118,1.25476
Main_RecrDev_2020,-0.186424,1.31584
ForeRecr_2021,0,1.4
