"","X.Intercept.","DF1","I.DF1.2.","DF2","I.DF2.2.","DF3","I.DF3.2.","DF4","I.DF4.2.","DF5","I.DF5.2.","R2","F","df","logLik","AICc","delta","weight"
"961",0.0474343243536339,NA,NA,NA,NA,NA,NA,0.13079987288512,-0.13141022145122,0.110732266994202,0.378479353565431,0.064778624390954,0.709971903256459,6,-71.590535594682,157.33491734321,12.0028599658156,0.000365248961027561
"269",0.229899872329149,NA,NA,-0.190744673601762,0.0952471632388641,NA,NA,NA,NA,-0.0739698343351817,NA,0.00407418517840849,0.0572719289417521,5,-73.0369942114825,157.573988422965,12.2419310455704,0.000324097263327481
"465",0.290041027899943,NA,NA,NA,NA,-0.379781718366407,NA,0.429801539430233,-0.145436647250791,0.167908566849641,NA,0.0507794582320073,0.548333526272646,6,-71.9322672680888,158.018380690024,12.6863233126292,0.000259523571471708
"977",-0.0790090474261907,NA,NA,NA,NA,-0.493745089041049,NA,0.211597131435161,-0.0258019278435956,0.290203225351384,0.457081638195638,0.105686506052068,0.945409025065846,7,-70.5618171581461,158.071002737345,12.7389453599502,0.000252784288142945
"881",-0.0938260966603784,NA,NA,NA,NA,-0.50044177194375,-0.00580731522486908,0.195466444313695,NA,0.294756948839806,0.464121616244609,0.105500949514066,0.943553372867217,7,-70.5665888156377,158.080546052328,12.7484886749334,0.000251580961315587
"797",-0.187634354289509,NA,NA,0.27214269174636,0.307485488247856,-0.595598570193828,NA,NA,NA,0.370132576810823,0.519977400521513,0.10295652945387,0.9181854198543,7,-70.6319198921209,158.211208205294,12.8791508278998,0.000235670295443912
"821",-0.160989830129305,NA,NA,0.262345455453527,NA,-0.599938754393934,0.10535910477433,NA,NA,0.36122159083481,0.528241154196529,0.101380154194879,0.902540976971612,7,-70.6723023401451,158.291973101343,12.9599157239482,0.000226342950015085
"369",0.245451299943701,NA,NA,NA,NA,-0.395990420985013,-0.0663079288705705,0.356008813169424,NA,0.18040510909656,NA,0.0447030273488215,0.479647736194315,6,-72.0790324025449,158.311910958936,12.9798535815414,0.000224097762911735
"213",0.30530501716648,NA,NA,0.0474292653465505,NA,-0.286822915804618,NA,0.346757581426309,-0.17297265957006,NA,NA,0.0417435673314799,0.446510506541706,6,-72.1501750573358,158.454196268518,13.1221388911232,0.000208708750836364
"241",0.317262821430899,NA,NA,NA,NA,-0.257718202762146,-0.0469444608856293,0.346045566746119,-0.162581671644847,NA,NA,0.0416109077617914,0.445029902794795,6,-72.153358922133,158.460563998112,13.1285066207176,0.000208045307109717
"117",0.279305789544448,NA,NA,0.0544677949397725,NA,-0.270493053240316,-0.156165885733705,0.2652318487593,NA,NA,NA,0.0346454935744771,0.367861036308103,6,-72.3199146175112,158.793675388869,13.4616180114739,0.000176126094272823
"93",0.20552090452641,NA,NA,0.0253704036002937,0.0884202963880566,-0.328178775258002,NA,0.225679620249311,NA,NA,NA,0.0326526857488703,0.345987448349944,6,-72.3673452100029,158.888536573852,13.5564791964573,0.000167967345880889
"205",0.366344795522543,NA,NA,-0.0536991655587744,-0.124788681195761,NA,NA,0.326820721372078,-0.212597337184554,NA,NA,0.0260365751421529,0.274009155165162,6,-72.524116745895,159.202079645636,13.8700222682417,0.000143595174869493
"453",0.338660997318297,NA,NA,-0.0409219498072192,NA,NA,NA,0.32499777060953,-0.210740675233138,0.024875196642191,NA,0.025733162178478,0.270731694942202,6,-72.5312806816521,159.21640751715,13.8843501397559,0.000142570144272253
"285",0.153681584388788,NA,NA,0.157648323165569,0.424023024867407,-0.391897706235904,NA,NA,NA,0.136363354235892,NA,0.0205143499648522,0.214676026271738,6,-72.6541549629597,159.462156079766,14.130098702371,0.000126085448247338
"61",0.176315188699351,NA,NA,-0.0213620989103477,0.299233397098754,-0.273538057062402,0.00428529036431272,NA,NA,NA,NA,0.0172519821823548,0.179937088819394,6,-72.7306336508579,159.615113455562,14.2830560781673,0.000116802111705306
"309",0.226130221003077,NA,NA,0.119689573400247,NA,-0.344093207813734,0.0673813733043222,NA,NA,0.096142694831941,NA,0.0160437233826404,0.167129544858846,6,-72.7588940822489,159.671634318344,14.3395769409495,0.000113547439471459
"333",0.259767306999945,NA,NA,-0.0802231759937215,-0.0747907521860013,NA,NA,0.181048542105197,NA,0.0155098450268956,NA,0.0117370346762014,0.121733394503605,6,-72.8593433584615,159.872532870769,14.5404754933746,0.000102695822799552
"965",0.00516757736728647,NA,NA,-0.243989014005774,NA,NA,NA,0.0491184670297477,-0.105875405321364,0.0220521592503712,0.419012324349732,0.0699136541948135,0.601351945527496,7,-71.463901278542,159.875170978137,14.5431136007421,0.000102560450797279
"845",-0.0368559010786112,NA,NA,-0.265794302180938,-0.128010098145384,NA,NA,-0.0281671468191379,NA,0.0202214449398826,0.45174403481374,0.0670818889375464,0.575243534386101,7,-71.5338212949288,160.01501101091,14.6829536335157,9.56343793674635e-05
"497",0.285200057249243,NA,NA,NA,NA,-0.386749047682723,0.0177675871718251,0.429319343157138,-0.148367875171756,0.169620407151303,NA,0.0508049344064123,0.428193834949118,7,-71.9316499617318,160.810668344516,15.4786109671216,6.42449875163508e-05
"245",0.320951352409942,NA,NA,0.055105222693138,NA,-0.269484659309545,-0.0590118242944635,0.352020389505311,-0.162687755693,NA,NA,0.0420270125869555,0.35096615991603,7,-72.143370818913,161.234110058879,15.9020526814841,5.19864365115313e-05
"221",0.299147473529238,NA,NA,0.0455159201400621,0.0257352997103515,-0.288825916289169,NA,0.343925188350837,-0.172114569506528,NA,NA,0.0417622129458562,0.348658452088336,7,-72.149727522325,161.246823465703,15.9147660883081,5.16570222567783e-05
"125",0.26185228026197,NA,NA,0.0488331812767948,0.074760278224245,-0.276490592410242,-0.154086863483415,0.258213575905971,NA,NA,NA,0.0348043827332309,0.288475265412328,7,-72.3161287011397,161.579625823332,16.2475684459375,4.37383357581529e-05
"461",0.369327105144557,NA,NA,-0.0227662151193407,-0.132274751915074,NA,NA,0.342937547960382,-0.214006298154764,0.0289241422757099,NA,0.0262424941617977,0.215597776690478,7,-72.5192534850502,161.985875391153,16.6538180137584,3.56981969569947e-05
"317",0.117616440600687,NA,NA,0.185116548760088,0.440123972402522,-0.452499768710877,0.0913265379114455,NA,NA,0.164944158983692,NA,0.0212392636398453,0.173601272309558,7,-72.6371264466276,162.221621314308,16.8895639369133,3.17288772516342e-05
